x,y,quantity,category,index
74.3443249,31.5272936,3,Container Point,194
74.3396391,31.5319959,1,Container Point,195
74.3371797,31.5300537,1,Container Point,196
74.3280849,31.5125807,2,Container Point,197
74.3286047,31.5101515,3,Container Point,198
74.3373061,31.5076744,2,Container Point,199
74.3398848,31.5103493,1,Container Point,200
74.343401,31.5140961,1,Container Point,201
74.3435514,31.5171655,1,Container Point,202
74.3463806,31.5199823,2,Container Point,203
74.3454699,31.5198706,1,Container Point,204
74.3452307,31.522302,1,Container Point,205
74.3378714,31.5232889,2,Container Point,206
74.3355287,31.5247483,2,Container Point,207
74.3362006,31.5239209,1,Container Point,208
74.3400403,31.5184495,5,Container Point,209
74.3445201,31.5185639,5,Container Point,210
74.3446722,31.5204305,5,Container Point,211
74.3396259,31.5127028,6,Container Point,212
74.338081,31.5110577,6,Container Point,213
74.3365395,31.5139504,6,Container Point,214
74.3450951,31.5088682,2,Container Point,215
74.3414244,31.5104783,2,Container Point,216
74.3435512,31.5113859,4,Container Point,217
74.3439185,31.5121647,2,Container Point,218
74.3439045,31.512205,2,Container Point,219
74.3451756,31.5091066,1,Container Point,220
74.3468715,31.5084417,2,Container Point,221
74.332231,31.5035856,1,Container Point,222
74.3321447,31.5017263,1,Container Point,223
74.3359948,31.4953456,6,Container Point,224
74.3376722,31.4951143,7,Container Point,225
74.3449175,31.5052339,1,Container Point,226
74.3522233,31.5312456,1,Container Point,227
74.3517456,31.5300683,2,Container Point,228
74.3517758,31.52964,2,Container Point,229
74.3502854,31.5275502,2,Container Point,230
74.347448,31.5234518,1,Container Point,231
74.3475779,31.5213126,1,Container Point,232
74.3474198,31.5213018,1,Container Point,233
74.3491437,31.5208042,2,Container Point,234
74.350982,31.5209808,1,Container Point,235
74.3511675,31.5214253,1,Container Point,236
74.3528036,31.5215486,1,Container Point,237
74.351783,31.5211412,1,Container Point,238
74.3523334,31.5170739,1,Container Point,239
74.3508413,31.5118509,1,Container Point,240
74.3500752,31.5088313,1,Container Point,241
74.3504647,31.5088504,1,Container Point,242
74.3511529,31.5131864,1,Container Point,243
74.3441848,31.5171354,1,Container Point,244
74.3540617,31.5221043,1,Container Point,245
74.3540087,31.5221082,1,Container Point,246
74.3552522,31.5235652,1,Container Point,247
74.3553353,31.5240585,1,Container Point,248
74.3560169,31.527028,3,Container Point,249
74.3561191,31.5270214,2,Container Point,250
74.3564027,31.5291126,1,Container Point,251
74.3575142,31.5294502,2,Container Point,252
74.3593523,31.529193,5,Container Point,253
74.3593523,31.529193,2,Container Point,254
74.3586269,31.5198245,1,Container Point,255
74.3581507,31.5167069,8,Container Point,256
74.3581507,31.5167069,2,Container Point,257
74.357926,31.5139029,5,Container Point,258
74.3578525,31.5118517,3,Container Point,259
74.357861,31.5109738,2,Container Point,260
74.3577888,31.5087683,2,Container Point,261
74.3579662,31.5069291,1,Container Point,262
74.3572464,31.5049945,1,Container Point,263
74.357926,31.5139029,1,Container Point,264
74.3578583,31.5118639,7,Container Point,265
74.3436581,31.5152754,2,Container Point,266
74.3481227,31.503028,9,Container Point,267
74.3449888,31.5004546,12,Container Point,268
74.3435207,31.5002439,4,Container Point,269
74.348842,31.5003313,4,Container Point,270
74.3519739,31.5008979,1,Container Point,271
74.3568895,31.5002954,3,Container Point,272
74.3569906,31.4967575,4,Container Point,273
74.3579376,31.4960946,4,Container Point,274
74.3580844,31.4956442,5,Container Point,275
74.3575573,31.4949928,4,Container Point,276
74.3568286,31.4935586,3,Container Point,277
74.3565815,31.49333,1,Container Point,278
74.3581055,31.4969896,3,Container Point,279
74.3582388,31.5020985,4,Container Point,280
74.3459513,31.5237541,6,Container Point,281
74.3440666,31.4886203,2,Container Point,282
74.3458316,31.4862336,1,Container Point,283
74.3405017,31.4840393,2,Container Point,284
74.3426924,31.4758855,2,Container Point,285
74.3455188,31.4748049,4,Container Point,286
74.3447198,31.4740889,2,Container Point,287
74.3427921,31.4757698,2,Container Point,288
74.3428787,31.475975,3,Container Point,289
74.3424337,31.4755761,2,Container Point,290
74.3441675,31.4773691,1,Container Point,291
74.3450914,31.4775486,2,Container Point,292
74.3445091,31.4776559,3,Container Point,293
74.345301,31.478774,2,Container Point,294
74.3382963,31.4886745,4,Container Point,295
74.337928,31.4898637,4,Container Point,296
74.3376461,31.4920336,7,Container Point,297
74.3411468,31.4914315,3,Container Point,298
74.3419636,31.4896258,7,Container Point,299
74.3578583,31.5118639,2,Container Point,300
74.3364597,31.5747226,1,Container Point,301
74.3337976,31.5754133,4,Container Point,302
74.3373378,31.5730839,1,Container Point,303
74.3374567,31.5729844,1,Container Point,304
74.3388065,31.5707055,1,Container Point,305
74.3405248,31.5678859,1,Container Point,306
74.3411451,31.5669012,4,Container Point,307
74.3435466,31.5648394,1,Container Point,308
74.3485512,31.5742448,1,Container Point,309
74.3485822,31.5748882,1,Container Point,310
74.3480096,31.5723231,3,Container Point,311
74.3462439,31.5722996,2,Container Point,312
74.3492123,31.5732232,2,Container Point,313
74.3529932,31.5722858,4,Container Point,314
74.355248,31.5748425,2,Container Point,315
74.355312,31.5764712,2,Container Point,316
74.3532545,31.5738932,4,Container Point,317
74.3525701,31.5741592,2,Container Point,318
74.3526989,31.5747449,4,Container Point,319
74.3526989,31.5747449,2,Container Point,320
